CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2024-06-01 00:00,mm,395.2,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2024-07-01 00:00,mm,201.2,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2024-08-01 00:00,mm,225.8,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2024-09-01 00:00,mm,192.5,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2024-10-01 00:00,mm,325.4,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2024-11-01 00:00,mm,119.8,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2024-12-01 00:00,mm,3.9,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2025-01-01 00:00,mm,1.6,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2025-02-01 00:00,mm,47.1,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2025-03-01 00:00,mm,29.2,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2025-04-01 00:00,mm,250.9,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2025-05-01 00:00,mm,237.7,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2025-06-01 00:00,mm,152.3,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2025-07-01 00:00,mm,286.5,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2025-08-01 00:00,mm,214.5,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2025-09-01 00:00,mm,140.5,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2025-10-01 00:00,mm,79,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2025-11-01 00:00,mm,46.2,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2025-12-01 00:00,mm,120.7,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2026-01-01 00:00,mm,161.9,Preliminar
25025190,PLANETA RICA  - AUT [25025190],PRECIPITACION,Precipitación total mensual,2026-02-01 00:00,mm,98,Preliminar
